I_data_lower,Q_data_lower,I_data_upper,Q_data_upper
0.5764706,0.5921569,0.7294118,0.6431373
0.5803922,0.5882353,0.7176471,0.63529414
0.58431375,0.5882353,0.7019608,0.62352943
0.5882353,0.58431375,0.6862745,0.6117647
0.5921569,0.5803922,0.6784314,0.6039216
0.6,0.5803922,0.65882355,0.5882353
0.6,0.5803922,0.6509804,0.5803922
0.60784316,0.5764706,0.6313726,0.5647059
0.60784316,0.5764706,0.62352943,0.56078434
0.6117647,0.5764706,0.6117647,0.54901963
0.61960787,0.57254905,0.6,0.5372549
0.61960787,0.57254905,0.5882353,0.53333336
0.62352943,0.57254905,0.5803922,0.5254902
0.627451,0.5686275,0.57254905,0.52156866
0.6313726,0.5686275,0.5686275,0.5176471
0.6313726,0.5647059,0.5568628,0.50980395
0.6392157,0.5647059,0.5568628,0.50980395
0.6431373,0.56078434,0.5529412,0.50980395
0.6431373,0.56078434,0.5529412,0.50980395
0.64705884,0.5568628,0.5568628,0.5176471
0.6509804,0.5568628,0.5568628,0.52156866
0.654902,0.5529412,0.5568628,0.52156866
0.65882355,0.5529412,0.5647059,0.5254902
0.6627451,0.54901963,0.57254905,0.53333336
0.6666667,0.54901963,0.5803922,0.5372549
0.6745098,0.54509807,0.5882353,0.5411765
0.6745098,0.54509807,0.6,0.54901963
0.6784314,0.5411765,0.6117647,0.5529412
0.68235296,0.5411765,0.627451,0.56078434
0.6862745,0.5372549,0.63529414,0.56078434
0.6901961,0.5372549,0.6509804,0.5647059
0.69411767,0.53333336,0.6666667,0.5686275
0.69803923,0.53333336,0.6745098,0.5686275
0.7019608,0.5294118,0.69411767,0.57254905
0.7058824,0.5254902,0.7058824,0.5686275
0.70980394,0.52156866,0.7137255,0.5647059
0.7137255,0.52156866,0.7294118,0.56078434
0.7137255,0.5176471,0.7411765,0.56078434
0.7176471,0.5137255,0.74509805,0.5529412
0.72156864,0.5137255,0.75686276,0.5529412
0.72156864,0.50980395,0.7607843,0.5411765
0.7254902,0.50980395,0.76862746,0.5372549
0.7294118,0.5058824,0.77254903,0.5294118
0.73333335,0.5019608,0.77254903,0.5176471
0.73333335,0.5019608,0.77254903,0.50980395
0.7372549,0.5019608,0.77254903,0.5019608
0.7411765,0.49803922,0.76862746,0.49411765
0.74509805,0.49803922,0.76862746,0.4862745
0.74509805,0.49803922,0.7647059,0.47843137
0.7490196,0.49803922,0.7529412,0.46666667
0.7529412,0.49803922,0.74509805,0.4627451
0.7529412,0.49803922,0.7372549,0.45490196
0.75686276,0.5019608,0.7294118,0.4509804
0.7607843,0.5019608,0.7176471,0.44705883
0.7607843,0.5019608,0.70980394,0.44313726
0.7607843,0.5058824,0.7019608,0.44705883
0.7607843,0.50980395,0.6862745,0.44313726
