I_data_lower,Q_data_lower,I_data_upper,Q_data_upper
0.68235296,0.6745098,0.654902,0.6627451
0.6784314,0.6784314,0.6509804,0.6627451
0.6745098,0.68235296,0.64705884,0.65882355
0.6666667,0.6862745,0.6431373,0.6509804
0.6627451,0.6901961,0.6392157,0.64705884
0.654902,0.6901961,0.6392157,0.64705884
0.64705884,0.6901961,0.6392157,0.6392157
0.6431373,0.6862745,0.6392157,0.63529414
0.6392157,0.68235296,0.6392157,0.6313726
0.6313726,0.6784314,0.6431373,0.6313726
0.6313726,0.67058825,0.64705884,0.627451
0.627451,0.6666667,0.64705884,0.6313726
0.6313726,0.65882355,0.6509804,0.63529414
0.6313726,0.654902,0.64705884,0.63529414
0.6313726,0.6509804,0.64705884,0.6392157
0.63529414,0.64705884,0.64705884,0.6431373
0.6392157,0.6431373,0.6431373,0.6431373
0.6431373,0.6392157,0.63529414,0.6431373
0.64705884,0.6392157,0.6313726,0.6392157
0.6509804,0.6392157,0.627451,0.6392157
0.654902,0.6392157,0.62352943,0.63529414
0.65882355,0.6392157,0.62352943,0.6313726
0.6627451,0.6392157,0.62352943,0.627451
0.6627451,0.6392157,0.62352943,0.61960787
0.6666667,0.6431373,0.627451,0.61960787
0.67058825,0.6431373,0.627451,0.6117647
0.6745098,0.6431373,0.6313726,0.60784316
0.6745098,0.64705884,0.6392157,0.60784316
0.6784314,0.6509804,0.64705884,0.60784316
0.68235296,0.654902,0.6509804,0.60784316
0.68235296,0.6627451,0.65882355,0.6117647
0.68235296,0.6666667,0.6627451,0.6156863
0.6862745,0.6745098,0.6666667,0.627451
0.68235296,0.68235296,0.67058825,0.63529414
0.68235296,0.6901961,0.6666667,0.6392157
0.6784314,0.7019608,0.6666667,0.64705884
0.67058825,0.70980394,0.6627451,0.654902
0.6627451,0.7176471,0.65882355,0.6627451
0.654902,0.72156864,0.654902,0.6666667
0.6431373,0.7294118,0.64705884,0.6666667
0.6313726,0.7294118,0.63529414,0.6666667
0.61960787,0.73333335,0.6313726,0.6627451
0.60784316,0.7294118,0.627451,0.65882355
0.5921569,0.7254902,0.62352943,0.654902
0.5803922,0.72156864,0.62352943,0.6509804
0.5686275,0.7137255,0.62352943,0.6431373
0.5568628,0.69803923,0.61960787,0.6313726
0.54901963,0.6862745,0.627451,0.627451
0.5411765,0.67058825,0.6313726,0.61960787
0.5372549,0.654902,0.6392157,0.61960787
0.5372549,0.63529414,0.64705884,0.61960787
0.5372549,0.61960787,0.65882355,0.6156863
0.5411765,0.6,0.6666667,0.6156863
0.54509807,0.5803922,0.6745098,0.62352943
0.5568628,0.5647059,0.68235296,0.627451
0.5647059,0.54901963,0.6901961,0.63529414
0.5803922,0.5372549,0.6901961,0.6392157
0.59607846,0.5254902,0.69411767,0.654902
0.6117647,0.5137255,0.69411767,0.6627451
0.6313726,0.50980395,0.6901961,0.6745098
0.6509804,0.5058824,0.6862745,0.68235296
0.6666667,0.5058824,0.6784314,0.6901961
0.6862745,0.50980395,0.6745098,0.7019608
0.7058824,0.5137255,0.6627451,0.7058824
0.72156864,0.5254902,0.654902,0.70980394
0.7372549,0.5372549,0.6431373,0.7058824
0.7490196,0.54901963,0.6313726,0.7019608
0.7607843,0.5647059,0.62352943,0.69803923
0.76862746,0.5803922,0.6156863,0.6901961
0.76862746,0.59607846,0.6117647,0.68235296
0.77254903,0.6117647,0.60784316,0.67058825
0.7764706,0.6313726,0.6039216,0.6627451
0.76862746,0.64705884,0.6039216,0.6509804
0.7607843,0.65882355,0.60784316,0.6431373
0.7529412,0.6745098,0.6117647,0.6313726
0.74509805,0.6862745,0.6156863,0.627451
0.7372549,0.6901961,0.61960787,0.62352943
0.7254902,0.69803923,0.62352943,0.6156863
0.7137255,0.7019608,0.627451,0.6117647
0.7058824,0.7058824,0.63529414,0.6117647
0.69803923,0.7058824,0.6392157,0.6117647
0.6862745,0.7058824,0.6431373,0.6117647
0.6784314,0.7019608,0.6509804,0.61960787
0.6745098,0.69411767,0.654902,0.61960787
0.6666667,0.6901961,0.6509804,0.61960787
0.6666667,0.6862745,0.654902,0.62352943
0.6627451,0.68235296,0.65882355,0.627451
0.6666667,0.6784314,0.654902,0.627451
0.6627451,0.6745098,0.65882355,0.6313726
0.6666667,0.67058825,0.654902,0.6313726
0.6666667,0.6666667,0.654902,0.63529414
0.6666667,0.6666667,0.654902,0.6313726
0.67058825,0.6666667,0.6509804,0.627451
0.6745098,0.6666667,0.654902,0.6313726
0.6745098,0.67058825,0.654902,0.627451
