I_data_lower,Q_data_lower,I_data_upper,Q_data_upper
0.59607846,0.63529414,0.70980394,0.7019608
0.5921569,0.6313726,0.70980394,0.7019608
0.5921569,0.6313726,0.70980394,0.7058824
0.5882353,0.627451,0.7058824,0.7058824
0.5882353,0.62352943,0.7058824,0.7019608
0.5882353,0.61960787,0.7019608,0.69411767
0.5882353,0.6156863,0.69803923,0.69411767
0.5921569,0.6117647,0.69803923,0.6901961
0.5921569,0.60784316,0.69411767,0.6862745
0.59607846,0.6,0.69411767,0.68235296
0.6,0.59607846,0.6862745,0.67058825
0.6,0.5921569,0.68235296,0.6666667
0.60784316,0.5882353,0.6784314,0.654902
0.6117647,0.5882353,0.6745098,0.64705884
0.61960787,0.58431375,0.6745098,0.63529414
0.62352943,0.5803922,0.6666667,0.627451
0.6313726,0.5803922,0.6666667,0.6156863
0.6392157,0.5803922,0.6627451,0.6039216
0.64705884,0.5803922,0.6627451,0.5921569
0.654902,0.5803922,0.65882355,0.5764706
0.65882355,0.5803922,0.65882355,0.5686275
0.6666667,0.58431375,0.654902,0.5529412
0.67058825,0.5882353,0.654902,0.5411765
0.6784314,0.5882353,0.65882355,0.53333336
0.68235296,0.5921569,0.6627451,0.5254902
0.6862745,0.59607846,0.6666667,0.5176471
0.6901961,0.6039216,0.67058825,0.50980395
0.69411767,0.60784316,0.6745098,0.5058824
0.69803923,0.6117647,0.6784314,0.5058824
0.7019608,0.6156863,0.6862745,0.5019608
0.7058824,0.61960787,0.6901961,0.5058824
0.7058824,0.62352943,0.69411767,0.50980395
0.70980394,0.627451,0.7058824,0.5176471
0.7058824,0.6313726,0.70980394,0.5254902
0.7058824,0.63529414,0.7137255,0.53333336
0.7058824,0.6392157,0.7137255,0.54509807
0.7058824,0.6431373,0.7176471,0.5568628
0.7019608,0.6431373,0.7176471,0.5686275
0.7019608,0.6431373,0.72156864,0.58431375
0.7019608,0.64705884,0.7176471,0.59607846
0.7019608,0.6431373,0.7137255,0.6117647
0.69803923,0.64705884,0.70980394,0.61960787
0.69411767,0.6431373,0.7019608,0.63529414
0.69411767,0.64705884,0.69803923,0.6509804
0.69411767,0.6431373,0.6862745,0.65882355
0.69411767,0.6431373,0.68235296,0.6745098
0.69411767,0.6431373,0.6784314,0.6862745
0.69411767,0.6431373,0.6666667,0.69803923
0.69411767,0.6392157,0.65882355,0.7019608
0.69803923,0.6392157,0.64705884,0.7137255
0.69803923,0.63529414,0.6392157,0.72156864
0.69803923,0.63529414,0.6313726,0.7294118
0.7019608,0.63529414,0.61960787,0.73333335
0.7019608,0.6313726,0.6156863,0.74509805
0.7019608,0.6313726,0.60784316,0.74509805
0.7058824,0.6313726,0.6,0.74509805
0.7019608,0.6313726,0.5921569,0.74509805
0.7058824,0.6313726,0.58431375,0.74509805
0.7058824,0.6313726,0.5803922,0.74509805
0.7058824,0.6313726,0.5764706,0.7411765
0.7058824,0.6313726,0.5686275,0.73333335
0.7058824,0.6313726,0.5686275,0.73333335
0.7058824,0.6313726,0.5647059,0.7254902
0.70980394,0.6313726,0.5647059,0.72156864
0.70980394,0.6313726,0.56078434,0.70980394
0.70980394,0.6313726,0.5647059,0.70980394
0.70980394,0.6313726,0.5647059,0.7019608
0.7137255,0.63529414,0.5647059,0.69411767
0.7137255,0.63529414,0.5686275,0.6901961
0.7137255,0.63529414,0.57254905,0.68235296
0.7137255,0.6392157,0.57254905,0.6745098
0.7137255,0.6431373,0.5803922,0.67058825
0.7137255,0.6431373,0.58431375,0.6627451
0.7137255,0.64705884,0.5882353,0.654902
0.7137255,0.6509804,0.5921569,0.64705884
0.7137255,0.6509804,0.59607846,0.6431373
0.7137255,0.654902,0.6039216,0.6392157
0.70980394,0.65882355,0.60784316,0.6313726
0.7058824,0.65882355,0.6117647,0.62352943
0.7019608,0.6627451,0.61960787,0.61960787
0.7019608,0.6666667,0.62352943,0.6117647
0.69803923,0.6666667,0.6313726,0.6117647
0.69411767,0.6666667,0.63529414,0.60784316
0.6901961,0.67058825,0.6431373,0.6039216
0.6862745,0.67058825,0.64705884,0.6
0.6862745,0.67058825,0.654902,0.6039216
0.68235296,0.67058825,0.6627451,0.6
0.6784314,0.67058825,0.6627451,0.6
0.6745098,0.67058825,0.67058825,0.6039216
0.6745098,0.6666667,0.6745098,0.6
0.67058825,0.6666667,0.6784314,0.60784316
0.67058825,0.6666667,0.6784314,0.60784316
0.6666667,0.6666667,0.6862745,0.6117647
0.6666667,0.6627451,0.6862745,0.6117647
0.6666667,0.6627451,0.6901961,0.6117647
0.6666667,0.6627451,0.69411767,0.6156863
0.6666667,0.65882355,0.7019608,0.62352943
0.6666667,0.65882355,0.7058824,0.627451
0.6666667,0.65882355,0.70980394,0.6313726
0.6666667,0.6627451,0.70980394,0.63529414
0.6666667,0.6627451,0.7137255,0.6431373
0.6666667,0.6627451,0.7137255,0.64705884
0.6627451,0.6666667,0.7137255,0.6509804
0.6627451,0.6666667,0.7137255,0.6627451
0.65882355,0.6666667,0.7176471,0.6745098
0.65882355,0.67058825,0.7176471,0.6862745
0.654902,0.6745098,0.7137255,0.69411767
0.6509804,0.6745098,0.70980394,0.70980394
0.6509804,0.6745098,0.70980394,0.72156864
0.6431373,0.6745098,0.7058824,0.73333335
0.6392157,0.6745098,0.69803923,0.7490196
0.63529414,0.6745098,0.6901961,0.7607843
0.6313726,0.6745098,0.6784314,0.77254903
0.627451,0.67058825,0.6666667,0.78431374
0.62352943,0.6666667,0.654902,0.7882353
0.61960787,0.6627451,0.6431373,0.79607844
0.61960787,0.65882355,0.6313726,0.8039216
0.6117647,0.654902,0.62352943,0.8117647
0.6117647,0.64705884,0.60784316,0.8117647
0.6117647,0.6431373,0.5921569,0.8117647
0.60784316,0.6313726,0.58431375,0.8117647
0.60784316,0.62352943,0.5686275,0.80784315
0.6117647,0.61960787,0.5568628,0.8039216
0.6117647,0.6117647,0.54901963,0.8039216
0.61960787,0.6039216,0.5372549,0.8
0.62352943,0.59607846,0.5254902,0.7921569
0.6313726,0.5882353,0.5137255,0.78039217
0.6392157,0.58431375,0.50980395,0.77254903
0.64705884,0.5803922,0.5019608,0.7607843
0.654902,0.5764706,0.49411765,0.7529412
0.6666667,0.5764706,0.49019608,0.7411765
0.6784314,0.5764706,0.49019608,0.7294118
0.6862745,0.5803922,0.4862745,0.7176471
0.69803923,0.58431375,0.4862745,0.7019608
0.70980394,0.5921569,0.4862745,0.6862745
0.7137255,0.6,0.49019608,0.6745098
0.72156864,0.60784316,0.49411765,0.65882355
0.7294118,0.61960787,0.5019608,0.6431373
0.7294118,0.6313726,0.5137255,0.6313726
0.7294118,0.64705884,0.52156866,0.61960787
0.7294118,0.65882355,0.53333336,0.6039216
0.7294118,0.6745098,0.54901963,0.59607846
0.72156864,0.6862745,0.5647059,0.58431375
0.7137255,0.69803923,0.5764706,0.5764706
0.7058824,0.70980394,0.5921569,0.5647059
0.69411767,0.72156864,0.60784316,0.56078434
0.6784314,0.7294118,0.627451,0.56078434
0.6666667,0.73333335,0.6431373,0.5568628
0.6509804,0.73333335,0.6627451,0.56078434
0.63529414,0.73333335,0.6784314,0.5647059
0.61960787,0.7294118,0.69411767,0.57254905
0.60784316,0.7254902,0.7058824,0.5803922
0.59607846,0.7137255,0.7254902,0.5921569
0.58431375,0.7019608,0.73333335,0.6039216
0.57254905,0.6862745,0.74509805,0.6117647
0.5686275,0.6666667,0.75686276,0.627451
0.5647059,0.6509804,0.7607843,0.6392157
0.5686275,0.6313726,0.77254903,0.654902
0.57254905,0.6156863,0.7764706,0.67058825
0.5803922,0.6,0.7764706,0.68235296
0.5921569,0.5803922,0.78431374,0.7019608
0.6039216,0.5686275,0.78039217,0.7137255
0.61960787,0.5568628,0.78431374,0.73333335
0.6392157,0.5529412,0.78039217,0.7490196
0.65882355,0.54509807,0.78039217,0.7647059
0.6784314,0.54509807,0.77254903,0.7764706
0.69411767,0.54901963,0.7647059,0.7921569
0.7137255,0.5568628,0.7529412,0.80784315
0.7294118,0.5686275,0.74509805,0.8235294
0.7411765,0.58431375,0.73333335,0.8392157
0.7529412,0.6039216,0.7137255,0.84705883
0.75686276,0.62352943,0.69411767,0.85882354
0.7607843,0.6431373,0.6745098,0.8666667
0.75686276,0.6666667,0.6509804,0.87058824
0.7490196,0.6862745,0.627451,0.8745098
0.7411765,0.7058824,0.6,0.8666667
0.7254902,0.7176471,0.5803922,0.8627451
0.70980394,0.7294118,0.5568628,0.8509804
0.6901961,0.7411765,0.53333336,0.8392157
0.6745098,0.74509805,0.5137255,0.81960785
0.654902,0.74509805,0.49411765,0.79607844
0.6392157,0.7411765,0.48235294,0.77254903
0.62352943,0.73333335,0.4745098,0.7490196
0.60784316,0.72156864,0.46666667,0.72156864
0.59607846,0.7058824,0.4627451,0.69411767
0.5921569,0.6901961,0.46666667,0.6666667
0.5882353,0.67058825,0.47058824,0.6392157
0.5882353,0.6509804,0.47843137,0.6156863
0.5882353,0.6313726,0.49019608,0.59607846
0.6,0.6156863,0.49803922,0.57254905
0.6117647,0.6,0.5137255,0.5568628
0.62352943,0.5882353,0.5294118,0.5411765
0.6392157,0.5803922,0.54509807,0.5294118
0.65882355,0.5764706,0.56078434,0.5176471
0.6784314,0.5764706,0.5764706,0.5019608
0.69803923,0.5803922,0.59607846,0.49803922
0.7137255,0.5921569,0.6117647,0.49019608
0.7294118,0.6039216,0.6313726,0.4862745
0.7372549,0.62352943,0.6509804,0.48235294
0.74509805,0.6431373,0.67058825,0.47843137
0.74509805,0.6627451,0.6901961,0.48235294
0.74509805,0.68235296,0.7137255,0.49019608
0.73333335,0.7058824,0.7294118,0.49803922
0.7254902,0.72156864,0.7490196,0.50980395
0.7137255,0.73333335,0.7607843,0.52156866
0.69411767,0.74509805,0.76862746,0.53333336
0.6745098,0.7529412,0.78039217,0.54901963
0.65882355,0.7529412,0.78431374,0.5647059
0.6392157,0.7490196,0.7882353,0.58431375
0.62352943,0.74509805,0.78431374,0.59607846
0.60784316,0.73333335,0.78431374,0.6117647
0.6,0.7176471,0.7764706,0.62352943
0.5921569,0.7019608,0.77254903,0.6313726
0.5882353,0.68235296,0.77254903,0.6431373
0.5882353,0.6627451,0.7647059,0.6509804
0.5921569,0.64705884,0.7607843,0.65882355
0.6,0.6313726,0.75686276,0.6627451
0.6156863,0.61960787,0.7529412,0.6666667
0.627451,0.6117647,0.7490196,0.6745098
0.6431373,0.6039216,0.7490196,0.6745098
0.65882355,0.6039216,0.74509805,0.6784314
0.6784314,0.60784316,0.74509805,0.6784314
0.69411767,0.6156863,0.7411765,0.68235296
0.7058824,0.627451,0.7411765,0.68235296
0.7176471,0.6392157,0.73333335,0.6784314
0.72156864,0.65882355,0.7372549,0.68235296
0.7254902,0.6784314,0.73333335,0.68235296
0.72156864,0.69411767,0.73333335,0.6784314
0.7176471,0.7137255,0.73333335,0.6784314
0.70980394,0.7294118,0.7372549,0.6784314
0.69411767,0.7411765,0.73333335,0.67058825
0.68235296,0.7490196,0.7411765,0.67058825
0.6666667,0.75686276,0.7411765,0.6666667
0.6509804,0.75686276,0.7411765,0.6627451
0.63529414,0.7529412,0.74509805,0.6627451
0.61960787,0.7490196,0.7490196,0.6666667
0.60784316,0.7411765,0.7490196,0.6627451
0.6039216,0.7294118,0.7490196,0.6627451
0.5921569,0.7176471,0.7529412,0.6666667
0.5882353,0.7019608,0.7529412,0.6666667
0.58431375,0.6862745,0.7529412,0.67058825
0.5882353,0.67058825,0.7529412,0.6784314
0.59607846,0.654902,0.7529412,0.6862745
0.6039216,0.6431373,0.7490196,0.6901961
0.6117647,0.627451,0.7411765,0.69411767
0.627451,0.61960787,0.7411765,0.7058824
0.6392157,0.6117647,0.73333335,0.70980394
0.654902,0.60784316,0.7254902,0.7137255
0.6745098,0.60784316,0.7137255,0.72156864
0.6901961,0.6117647,0.7058824,0.72156864
0.7058824,0.6156863,0.69411767,0.7254902
