I_data_lower,Q_data_lower,I_data_upper,Q_data_upper
0.6313726,0.7372549,0.57254905,0.90588236
0.6509804,0.74509805,0.5882353,0.91764706
0.6745098,0.74509805,0.60784316,0.9254902
0.69411767,0.7411765,0.627451,0.93333334
0.7176471,0.7294118,0.64705884,0.9372549
0.73333335,0.7137255,0.6627451,0.9372549
0.74509805,0.6901961,0.6862745,0.9372549
0.7529412,0.67058825,0.7019608,0.92941177
0.75686276,0.64705884,0.72156864,0.92156863
0.7529412,0.627451,0.7411765,0.91764706
0.74509805,0.60784316,0.75686276,0.90588236
0.73333335,0.5921569,0.77254903,0.8980392
0.7176471,0.5764706,0.78431374,0.8862745
0.69803923,0.57254905,0.7921569,0.8745098
0.6784314,0.5686275,0.8039216,0.8627451
0.654902,0.5686275,0.8117647,0.8509804
0.63529414,0.5764706,0.81960785,0.8392157
0.61960787,0.5921569,0.827451,0.83137256
0.60784316,0.6039216,0.83137256,0.8156863
0.59607846,0.62352943,0.8392157,0.8117647
0.5882353,0.6431373,0.84313726,0.8
0.5921569,0.6666667,0.84705883,0.78431374
0.5882353,0.68235296,0.85490197,0.7764706
0.59607846,0.7019608,0.85490197,0.7647059
0.60784316,0.7176471,0.85490197,0.7490196
0.61960787,0.7294118,0.85882354,0.7372549
0.63529414,0.7411765,0.85882354,0.72156864
0.6509804,0.74509805,0.85882354,0.70980394
0.67058825,0.74509805,0.85882354,0.69803923
0.6862745,0.7411765,0.8509804,0.68235296
0.7019608,0.73333335,0.84313726,0.67058825
0.7137255,0.7294118,0.83137256,0.65882355
0.7254902,0.7176471,0.8156863,0.6509804
0.73333335,0.7058824,0.8,0.6431373
0.7411765,0.69411767,0.78431374,0.6431373
0.74509805,0.68235296,0.76862746,0.6431373
0.7490196,0.6666667,0.7490196,0.6509804
0.7490196,0.654902,0.7294118,0.65882355
0.7490196,0.6431373,0.7176471,0.6745098
0.74509805,0.6313726,0.7058824,0.6901961
0.7411765,0.61960787,0.69411767,0.7137255
0.73333335,0.6117647,0.6901961,0.73333335
0.7254902,0.6039216,0.6901961,0.75686276
0.7176471,0.6,0.69411767,0.7764706
0.7058824,0.5921569,0.7019608,0.79607844
0.69411767,0.5921569,0.7137255,0.8117647
0.6862745,0.5921569,0.7294118,0.8235294
0.6745098,0.5921569,0.75686276,0.8352941
0.6627451,0.59607846,0.7764706,0.8392157
0.654902,0.6,0.8,0.8352941
0.6431373,0.60784316,0.83137256,0.827451
0.6392157,0.6117647,0.8509804,0.80784315
0.6313726,0.61960787,0.87058824,0.7921569
0.62352943,0.6313726,0.8862745,0.76862746
0.61960787,0.6431373,0.8980392,0.7411765
0.61960787,0.654902,0.8980392,0.70980394
0.61960787,0.6627451,0.8980392,0.68235296
0.62352943,0.6745098,0.8862745,0.6509804
0.627451,0.68235296,0.87058824,0.6313726
0.63529414,0.69411767,0.8509804,0.6117647
